instance_index,tempo_original,tempo_relaxado,tempo_relaxado_global,len_original,len_relaxado,len_relaxado_global,delta
0.0,34.77601933479309,2.227511644363404,1.246392011642456,47.0,32.0,33.0,0.9
1.0,50.98049068450928,0.8796939849853516,2.163031816482544,48.0,64.0,64.0,0.9
2.0,81.27842497825623,2.0701961517333984,2.267510175704956,42.0,22.0,26.0,0.9
3.0,,2.077845335006714,2.1697025299072266,,41.0,42.0,0.9
4.0,,1.2712371349334717,1.2424569129943848,,64.0,64.0,0.9
5.0,,1.1309967041015625,1.3682312965393066,,35.0,35.0,0.9
6.0,,2.755619764328003,1.3184711933135986,,26.0,27.0,0.9
6.0,,3.126157522201538,1.3009159564971924,,26.0,27.0,0.9
6.0,107.90723896026611,1.8564295768737795,3.488602638244629,44.0,26.0,27.0,0.9
7.0,,5.721932888031006,1.4522197246551514,,31.0,30.0,0.9
7.0,,2.571240186691284,1.3872613906860352,,31.0,30.0,0.9
7.0,,2.1618638038635254,2.169337749481201,,31.0,30.0,0.9
7.0,,1.3907666206359863,1.1313621997833252,,31.0,30.0,0.9
7.0,,1.655876636505127,1.118943452835083,,31.0,30.0,0.9
7.0,,3.925572156906128,1.1537048816680908,,31.0,30.0,0.9
